19,0.0010171781839549963,67,16,159,0.6473000049591064;0.8777999877929688;0.8952666521072388;0.9045666456222534;0.9099833369255066;0.9138666391372681;0.9175500273704529;0.9199166893959045;0.9229166507720947;0.924049973487854;0.9263666868209839;0.9276666641235352;0.9272333383560181;0.9294999837875366;0.9315666556358337;0.9331333041191101,0.8711000084877014;0.8939999938011169;0.9068999886512756;0.9133999943733215;0.9182000160217285;0.9136000275611877;0.9121000170707703;0.9235000014305115;0.9251999855041504;0.9230999946594238;0.9283999800682068;0.9279000163078308;0.9262999892234802;0.9265000224113464;0.9160000085830688;0.9291999936103821,1.2049654722213745;0.42182475328445435;0.356446772813797;0.3261968791484833;0.3115565776824951;0.30112937092781067;0.29074445366859436;0.2819613516330719;0.2749505639076233;0.26758426427841187;0.262792706489563;0.2566220164299011;0.2536128759384155;0.24895502626895905;0.24288959801197052;0.23822341859340668,0.477967768907547;0.3602084815502167;0.32018598914146423;0.3080509901046753;0.29190880060195923;0.31047365069389343;0.3039628565311432;0.27956849336624146;0.2749045789241791;0.26702681183815;0.2588936388492584;0.26026400923728943;0.26079410314559937;0.2640622854232788;0.28911441564559937;0.2607311010360718
331,0.0034740643390552242,468,9,938,0.3753499984741211;0.8335999846458435;0.8767833113670349;0.8906999826431274;0.8981166481971741;0.9054333567619324;0.911216676235199;0.9146666526794434;0.9171833395957947,0.7703999876976013;0.8712999820709229;0.8845000267028809;0.9039999842643738;0.8988999724388123;0.9090999960899353;0.9110000133514404;0.9061999917030334;0.9050999879837036,2.014211893081665;0.6700261235237122;0.4345634877681732;0.3733295202255249;0.3473200798034668;0.3258248567581177;0.30900487303733826;0.2970183789730072;0.2894566059112549,1.067995548248291;0.4711136221885681;0.38739463686943054;0.334316611289978;0.34358465671539307;0.3124338388442993;0.30445635318756104;0.3143702745437622;0.3191588521003723
374,0.00024136923007938663,314,10,644,0.11643332988023758;0.22443333268165588;0.47228333353996277;0.6503499746322632;0.7330833077430725;0.7797999978065491;0.8061333298683167;0.8219833374023438;0.8350666761398315;0.8437333106994629,0.15379999577999115;0.3727000057697296;0.6360999941825867;0.6899999976158142;0.798799991607666;0.8062000274658203;0.8174999952316284;0.8323000073432922;0.8489999771118164;0.8590999841690063,2.3002023696899414;2.248704671859741;2.1112143993377686;1.8759100437164307;1.5855096578598022;1.3050072193145752;1.0782071352005005;0.912333071231842;0.7914542555809021;0.7046652436256409,2.287299871444702;2.19287109375;1.9958361387252808;1.7249847650527954;1.417825698852539;1.160954236984253;0.9663806557655334;0.8232452869415283;0.7213878631591797;0.6438210010528564
339,0.010079518689116428,365,5,471,0.5888333320617676;0.8911666870117188;0.9075000286102295;0.9125499725341797;0.9194333553314209,0.8828999996185303;0.9071999788284302;0.9053999781608582;0.9214000105857849;0.9193999767303467,1.723016619682312;0.3694951832294464;0.3211864233016968;0.3063308000564575;0.2891949415206909,0.4019373059272766;0.3317118287086487;0.3220233619213104;0.2817026376724243;0.28574061393737793
385,0.003226161148617986,355,11,533,0.4652000069618225;0.852816641330719;0.884850025177002;0.8949000239372253;0.901449978351593;0.9016333222389221;0.9153833389282227;0.9172666668891907;0.9171500205993652;0.9219666719436646;0.9255333542823792,0.7389000058174133;0.882099986076355;0.8701000213623047;0.8837000131607056;0.8240000009536743;0.90829998254776;0.9153000116348267;0.9139000177383423;0.9200000166893005;0.9254000186920166;0.817799985408783,1.773755669593811;0.5472757816314697;0.39896249771118164;0.35540440678596497;0.33616793155670166;0.3375382423400879;0.29742148518562317;0.28951823711395264;0.2903279960155487;0.277994304895401;0.26854565739631653,0.8287529349327087;0.42798912525177;0.41470766067504883;0.3760974109172821;0.537364661693573;0.30754244327545166;0.29770755767822266;0.30340543389320374;0.2899075448513031;0.2668132483959198;0.5785652995109558
300,0.003874380029181287,381,12,535,0.4620000123977661;0.8598833084106445;0.8881000280380249;0.9007499814033508;0.9097999930381775;0.9155333042144775;0.920366644859314;0.9225333333015442;0.9244333505630493;0.9274500012397766;0.9284666776657104;0.9282333254814148,0.8434000015258789;0.8919000029563904;0.9039000272750854;0.9100000262260437;0.9042999744415283;0.9204999804496765;0.921500027179718;0.9204000234603882;0.92330002784729;0.927299976348877;0.9244999885559082;0.9233999848365784,1.83549964427948;0.519977867603302;0.3816898465156555;0.3390905559062958;0.3128398060798645;0.29792630672454834;0.2815326750278473;0.2774271070957184;0.2716437578201294;0.26168280839920044;0.25610989332199097;0.25724977254867554,0.7243302464485168;0.3908502757549286;0.33260899782180786;0.3101898729801178;0.3253840208053589;0.28078290820121765;0.27368175983428955;0.2874224781990051;0.2841878831386566;0.2618398070335388;0.2697699964046478;0.28246355056762695
388,0.004964012345432525,349,13,922,0.5190500020980835;0.8733000159263611;0.8947833180427551;0.902899980545044;0.9110000133514404;0.9183833599090576;0.9220333099365234;0.9243666529655457;0.9262833595275879;0.9276666641235352;0.9308500289916992;0.9311500191688538;0.930649995803833,0.8622000217437744;0.8966000080108643;0.8988999724388123;0.9136999845504761;0.9222000241279602;0.923799991607666;0.9235000014305115;0.9243000149726868;0.9243999719619751;0.9276999831199646;0.9304999709129333;0.9186000227928162;0.9300000071525574,1.6049895286560059;0.4444524347782135;0.35760900378227234;0.33107978105545044;0.3077642321586609;0.28632357716560364;0.27651795744895935;0.2697798013687134;0.2616177499294281;0.25829416513442993;0.2484108954668045;0.24553006887435913;0.244594544172287,0.5245059132575989;0.3604704737663269;0.3365996479988098;0.29921954870224;0.2819335162639618;0.27549347281455994;0.26586177945137024;0.26683372259140015;0.2683410048484802;0.2650205194950104;0.25432273745536804;0.27507179975509644;0.25852081179618835
372,0.00423827194115704,381,11,503,0.45496666431427;0.8593999743461609;0.8876833319664001;0.9016000032424927;0.9122499823570251;0.918233335018158;0.921500027179718;0.9252499938011169;0.9264833331108093;0.9286500215530396;0.9314666390419006,0.8267999887466431;0.8880000114440918;0.904699981212616;0.9143000245094299;0.9117000102996826;0.9214000105857849;0.9128000140190125;0.9233999848365784;0.9226999878883362;0.9218000173568726;0.9225000143051147,1.8369667530059814;0.5203354954719543;0.38144251704216003;0.33541741967201233;0.3040558993816376;0.28664305806159973;0.278415709733963;0.26869258284568787;0.26571181416511536;0.25635698437690735;0.2497955560684204,0.7226970791816711;0.3921889662742615;0.3344336450099945;0.2946373224258423;0.31326356530189514;0.28289595246315;0.2953435480594635;0.2723105251789093;0.2727271020412445;0.27578774094581604;0.2820805311203003
355,0.004484304558089529,383,11,491,0.49098333716392517;0.8673499822616577;0.8911333084106445;0.9024166464805603;0.9125833511352539;0.9171333312988281;0.9222666621208191;0.9258999824523926;0.9262499809265137;0.9298666715621948;0.928516685962677,0.8555999994277954;0.8944000005722046;0.8974000215530396;0.9063000082969666;0.9236999750137329;0.9222000241279602;0.9164999723434448;0.9232000112533569;0.927299976348877;0.9262999892234802;0.927299976348877,1.6831676959991455;0.4812025725841522;0.3714544475078583;0.33059555292129517;0.3051249384880066;0.291983425617218;0.2782719135284424;0.2676360607147217;0.26440513134002686;0.25360342860221863;0.25557777285575867,0.6103638410568237;0.37809666991233826;0.3541572391986847;0.3328922986984253;0.27517497539520264;0.27572521567344666;0.2877175509929657;0.26995131373405457;0.26820293068885803;0.2727639377117157;0.25910162925720215
387,7.573526580358984e-05,347,12,582,0.1105833351612091;0.12794999778270721;0.15004999935626984;0.19269999861717224;0.250900000333786;0.35874998569488525;0.4403333365917206;0.5141833424568176;0.5682666897773743;0.6304333209991455;0.6547666788101196;0.6885333061218262,0.1753000020980835;0.18950000405311584;0.27149999141693115;0.19949999451637268;0.3659999966621399;0.46560001373291016;0.4002000093460083;0.6151000261306763;0.7002000212669373;0.6784999966621399;0.640500009059906;0.7064999938011169,2.3015990257263184;2.296236276626587;2.2868332862854004;2.2709991931915283;2.2491650581359863;2.2189807891845703;2.1811110973358154;2.1344153881073;2.0804390907287598;2.0181827545166016;1.950202465057373;1.875484585762024,2.2997097969055176;2.2913553714752197;2.2798590660095215;2.2592623233795166;2.235654592514038;2.197666883468628;2.156487464904785;2.105289936065674;2.0444183349609375;1.9772800207138062;1.9054909944534302;1.826552391052246
