585,0.0041294326368235355,257,14,200,0.5909666419029236;0.8799833059310913;0.8984666466712952;0.9052333235740662;0.9110333323478699;0.9161333441734314;0.9193666577339172;0.9238333106040955;0.9250500202178955;0.9247333407402039;0.9273333549499512;0.9266999959945679;0.9289833307266235;0.9295666813850403,0.8712000250816345;0.8991000056266785;0.9071999788284302;0.8919000029563904;0.90829998254776;0.9144999980926514;0.9186000227928162;0.9233999848365784;0.91839998960495;0.9176999926567078;0.925599992275238;0.9294000267982483;0.923799991607666;0.9229000210762024,1.3676950931549072;0.4097454249858856;0.34472933411598206;0.3227561414241791;0.30882808566093445;0.29341748356819153;0.2859046757221222;0.27108240127563477;0.2647058665752411;0.2661762535572052;0.25646695494651794;0.25763705372810364;0.2533601224422455;0.24704384803771973,0.47220665216445923;0.35577332973480225;0.3192681074142456;0.3640715181827545;0.32667219638824463;0.31399059295654297;0.29013240337371826;0.2819972336292267;0.2862700819969177;0.2873990833759308;0.26463770866394043;0.26565492153167725;0.27574673295021057;0.27667567133903503
563,0.0057745694324049975,455,11,473,0.4709833264350891;0.866016685962677;0.8921666741371155;0.9042333364486694;0.9139000177383423;0.9186000227928162;0.9208333492279053;0.9239833354949951;0.9238333106040955;0.9260833263397217;0.9269166588783264,0.8485000133514404;0.89410001039505;0.9081000089645386;0.9143999814987183;0.9154000282287598;0.9211000204086304;0.9239000082015991;0.9182999730110168;0.9236999750137329;0.9279999732971191;0.9210000038146973,1.846652865409851;0.4859101474285126;0.36662837862968445;0.32753244042396545;0.30166006088256836;0.2878519892692566;0.28104373812675476;0.2732912003993988;0.26955512166023254;0.26290732622146606;0.2597128450870514,0.6330326795578003;0.371860146522522;0.32075244188308716;0.2963412404060364;0.2843126058578491;0.2893234193325043;0.2730480134487152;0.2846875786781311;0.2829470932483673;0.25842881202697754;0.2859627306461334
493,0.03095655300992809,422,13,251,0.5827333331108093;0.8969333171844482;0.9069833159446716;0.9093000292778015;0.9139833450317383;0.9114333391189575;0.9181833267211914;0.9190000295639038;0.9118000268936157;0.9188833236694336;0.925683319568634;0.9147999882698059;0.9243999719619751,0.8924000263214111;0.9182999730110168;0.902999997138977;0.9171000123023987;0.9075000286102295;0.876800000667572;0.8962000012397766;0.9180999994277954;0.8894000053405762;0.9089999794960022;0.9199000000953674;0.9208999872207642;0.8529999852180481,6.092783451080322;0.3464561402797699;0.3225906491279602;0.3160693049430847;0.30283114314079285;0.30830153822898865;0.2938985228538513;0.2876242697238922;0.31903383135795593;0.29971590638160706;0.26615697145462036;0.3061469495296478;0.28042352199554443,0.3632357716560364;0.2906975746154785;0.33644646406173706;0.2905721366405487;0.3384850323200226;0.42443734407424927;0.3364841938018799;0.30176842212677;0.4206470847129822;0.33455196022987366;0.30694353580474854;0.3215504586696625;0.5661026835441589
623,0.006226541687267626,375,17,39,0.5999333262443542;0.8804333209991455;0.8971333503723145;0.9065999984741211;0.913266658782959;0.9161499738693237;0.9158166646957397;0.9162333607673645;0.9211666584014893;0.9209666848182678;0.9248499870300293;0.9273333549499512;0.9233333468437195;0.923799991607666;0.925599992275238;0.9269999861717224;0.9312833547592163,0.8693000078201294;0.9052000045776367;0.9101999998092651;0.91839998960495;0.9157000184059143;0.9168000221252441;0.9136999845504761;0.9165999889373779;0.9232000112533569;0.9239000082015991;0.9223999977111816;0.9186999797821045;0.906000018119812;0.9232000112533569;0.9172999858856201;0.9265999794006348;0.9302999973297119,1.502768635749817;0.40533751249313354;0.34663015604019165;0.32055041193962097;0.3017110824584961;0.2952624261379242;0.2921597361564636;0.29216209053993225;0.27783912420272827;0.27725526690483093;0.270713210105896;0.2597324848175049;0.2712189555168152;0.26859816908836365;0.2621223032474518;0.2556508183479309;0.24485290050506592,0.4591999053955078;0.32355600595474243;0.3114056885242462;0.29272007942199707;0.2947143614292145;0.288653165102005;0.3078807592391968;0.30536800622940063;0.27986374497413635;0.26987558603286743;0.27955272793769836;0.2887110710144043;0.3202381730079651;0.27444636821746826;0.29506197571754456;0.26500648260116577;0.2630578875541687
616,0.003482858214769035,399,14,168,0.4659999907016754;0.8518166542053223;0.8846333622932434;0.897266685962677;0.9054333567619324;0.9099166393280029;0.9142000079154968;0.9174166917800903;0.9202166795730591;0.9243666529655457;0.9219666719436646;0.9254500269889832;0.926800012588501;0.9278333187103271,0.8141000270843506;0.8805000185966492;0.8942999839782715;0.9083999991416931;0.9111999869346619;0.9143999814987183;0.9154000282287598;0.9003000259399414;0.9236000180244446;0.9240000247955322;0.9038000106811523;0.9259999990463257;0.9240000247955322;0.9251999855041504,1.793149709701538;0.553111732006073;0.39518874883651733;0.34972497820854187;0.32453101873397827;0.3106164038181305;0.30146968364715576;0.288822203874588;0.28134211897850037;0.27157068252563477;0.27584993839263916;0.2652548551559448;0.26043248176574707;0.2568592429161072,0.7777052521705627;0.4147096276283264;0.35570836067199707;0.31203344464302063;0.3033927381038666;0.29587820172309875;0.29876092076301575;0.3338746428489685;0.2757517099380493;0.27804356813430786;0.32323193550109863;0.2684139013290405;0.2658500373363495;0.2778910994529724
554,0.003494603356698704,284,10,358,0.529033362865448;0.8689000010490417;0.8927833437919617;0.9047666788101196;0.9104499816894531;0.9146666526794434;0.9191333055496216;0.9196333289146423;0.921583354473114;0.92208331823349,0.8472999930381775;0.8934000134468079;0.9107000231742859;0.9060999751091003;0.9138000011444092;0.914900004863739;0.919700026512146;0.9104999899864197;0.9247999787330627;0.9158999919891357,1.5486931800842285;0.4642224907875061;0.36669909954071045;0.3303968608379364;0.31186357140541077;0.3003016412258148;0.28695687651634216;0.28185340762138367;0.27689000964164734;0.27504950761795044,0.5730836391448975;0.3719526529312134;0.3224215507507324;0.3250322937965393;0.3029474914073944;0.2935512065887451;0.28582391142845154;0.3069615662097931;0.26673007011413574;0.29480719566345215
535,0.007745532529012893,141,10,300,0.737416684627533;0.9000166654586792;0.9093499779701233;0.9088000059127808;0.9124333262443542;0.9143333435058594;0.9180166721343994;0.9206833243370056;0.9213666915893555;0.9185666441917419,0.8931999802589417;0.911899983882904;0.92330002784729;0.8919000029563904;0.9013000130653381;0.9142000079154968;0.9049999713897705;0.9107999801635742;0.9172999858856201;0.917900025844574,0.9739828705787659;0.3456023037433624;0.3181319236755371;0.327273428440094;0.32035425305366516;0.30956923961639404;0.29739657044410706;0.2869631052017212;0.28598806262016296;0.29902273416519165,0.3638525605201721;0.29908666014671326;0.28286802768707275;0.3837272822856903;0.35494232177734375;0.33016449213027954;0.3598617911338806;0.35137227177619934;0.31562376022338867;0.3406262993812561
571,0.003868231778089852,14,9,352,0.830299973487854;0.885450005531311;0.8949166536331177;0.9009000062942505;0.9051666855812073;0.9080833196640015;0.9093999862670898;0.911300003528595;0.9133833050727844,0.891700029373169;0.8937000036239624;0.9093999862670898;0.9190000295639038;0.9106000065803528;0.8751999735832214;0.9013000130653381;0.8684999942779541;0.9301000237464905,0.6323893666267395;0.5280160903930664;0.5129048228263855;0.49204084277153015;0.4789154827594757;0.47480082511901855;0.4584662616252899;0.46450120210647583;0.456369549036026,0.46777138113975525;0.5122988224029541;0.4666525423526764;0.4499579966068268;0.4698694348335266;0.6890274286270142;0.5749555230140686;0.7312201261520386;0.44405272603034973
603,0.003596137162183664,488,7,711,0.34068334102630615;0.8303999900817871;0.8752166628837585;0.8923500180244446;0.9000833630561829;0.90993332862854;0.9145833253860474,0.7670000195503235;0.8675000071525574;0.8928999900817871;0.9049999713897705;0.9135000109672546;0.9136000275611877;0.921500027179718,2.0623996257781982;0.705609142780304;0.4412388801574707;0.37347906827926636;0.3418067395687103;0.31407099962234497;0.2983378767967224,1.1341431140899658;0.48944923281669617;0.37716567516326904;0.33326202630996704;0.309847891330719;0.3019663393497467;0.27743977308273315
608,0.003148324008835891,387,11,526,0.39808332920074463;0.8398000001907349;0.8781833052635193;0.8921833038330078;0.9011333584785461;0.9074666500091553;0.9139666557312012;0.9175166487693787;0.920799970626831;0.9241166710853577;0.9251166582107544,0.7904000282287598;0.8536999821662903;0.890500009059906;0.8992000222206116;0.9079999923706055;0.9081000089645386;0.9143999814987183;0.9176999926567078;0.9200000166893005;0.9150000214576721;0.9175999760627747,1.9139667749404907;0.6148399710655212;0.423184871673584;0.3689125180244446;0.3381802439689636;0.31814026832580566;0.3012860119342804;0.29004740715026855;0.280203253030777;0.2726081609725952;0.267408549785614,0.9323190450668335;0.5003355741500854;0.37665829062461853;0.33815425634384155;0.31427279114723206;0.3191453218460083;0.31085431575775146;0.2872233986854553;0.27438807487487793;0.2998606562614441;0.2840496897697449
599,0.008074817689351015,456,8,578,0.5216166377067566;0.8761000037193298;0.9046833515167236;0.9142000079154968;0.9154166579246521;0.9211000204086304;0.9259499907493591;0.9248666763305664,0.8651000261306763;0.9074000120162964;0.9172999858856201;0.9168999791145325;0.920799970626831;0.9240999817848206;0.9279999732971191;0.921999990940094,1.820974588394165;0.4202648401260376;0.3299217224121094;0.30128490924835205;0.2977044880390167;0.27731212973594666;0.26364415884017944;0.27016761898994446,0.4992016553878784;0.3242616355419159;0.2890433073043823;0.2969375550746918;0.28363117575645447;0.274165540933609;0.25720900297164917;0.28376850485801697
514,0.00019600594282192792,377,17,285,0.11923333257436752;0.20600000023841858;0.3698166608810425;0.5570499897003174;0.6542333364486694;0.7260333299636841;0.7595000267028809;0.7843000292778015;0.8001833558082581;0.8153833150863647;0.8261333107948303;0.8346499800682068;0.8410833477973938;0.8455666899681091;0.8502333164215088;0.8549833297729492;0.8600333333015442,0.258899986743927;0.10610000044107437;0.46299999952316284;0.6784999966621399;0.707099974155426;0.7641000151634216;0.8033999800682068;0.8073999881744385;0.8271999955177307;0.8359000086784363;0.840399980545044;0.8521999716758728;0.8557000160217285;0.8522999882698059;0.8622999787330627;0.864799976348877;0.8702999949455261,2.2984466552734375;2.2614593505859375;2.184821844100952;2.0590221881866455;1.888901710510254;1.688456416130066;1.4829046726226807;1.2923744916915894;1.1291691064834595;0.9960513114929199;0.8901724815368652;0.805587112903595;0.7388812303543091;0.6836913824081421;0.6393057703971863;0.602809488773346;0.5708072781562805,2.283506155014038;2.2300846576690674;2.1251444816589355;1.9741277694702148;1.7784720659255981;1.571333646774292;1.364895224571228;1.1843740940093994;1.0345290899276733;0.9158033132553101;0.8221034407615662;0.745238184928894;0.684460461139679;0.6384391188621521;0.5961993336677551;0.5629276037216187;0.5346745848655701
625,0.00010688373982039341,302,14,604,0.10943333059549332;0.13050000369548798;0.19696666300296783;0.3101666569709778;0.4552166759967804;0.555316686630249;0.6383833289146423;0.6912000179290771;0.7195333242416382;0.7403333187103271;0.7653666734695435;0.7804333567619324;0.794866681098938;0.8038666844367981,0.11760000139474869;0.1476999968290329;0.35929998755455017;0.47450000047683716;0.582099974155426;0.625;0.7107999920845032;0.7278000116348267;0.7985000014305115;0.7432000041007996;0.8090999722480774;0.7985000014305115;0.8123999834060669;0.8194000124931335,2.302152156829834;2.290454626083374;2.2659144401550293;2.2237322330474854;2.1603333950042725;2.0764007568359375;1.9728600978851318;1.8531696796417236;1.7244763374328613;1.5916301012039185;1.4615904092788696;1.3396574258804321;1.2269288301467896;1.127236008644104,2.297558546066284;2.2787585258483887;2.247525453567505;2.191993236541748;2.115837812423706;2.0200321674346924;1.904461145401001;1.7784035205841064;1.6478281021118164;1.5119550228118896;1.3813544511795044;1.2613646984100342;1.1537810564041138;1.0603541135787964
527,0.002031469081206435,490,8,653,0.26034998893737793;0.7591666579246521;0.8514000177383423;0.8734166622161865;0.885783314704895;0.8929166793823242;0.8997166752815247;0.9036499857902527,0.6854000091552734;0.8464000225067139;0.8672999739646912;0.8907999992370605;0.8982999920845032;0.9027000069618225;0.9106000065803528;0.9133999943733215,2.210726022720337;1.1434203386306763;0.5872604250907898;0.45486927032470703;0.3992016613483429;0.3697136640548706;0.3475618064403534;0.3327312171459198,1.7646681070327759;0.6908697485923767;0.48238325119018555;0.40153464674949646;0.36100465059280396;0.3425958454608917;0.31869029998779297;0.31069642305374146
567,0.0020111814286626574,429,10,667,0.2807833254337311;0.7832333445549011;0.8562666773796082;0.8777166604995728;0.8872666954994202;0.8948000073432922;0.9003833532333374;0.904283344745636;0.9076333045959473;0.910099983215332,0.6984999775886536;0.8550000190734863;0.876800000667572;0.891700029373169;0.8962000012397766;0.9014999866485596;0.9035000205039978;0.9133999943733215;0.9072999954223633;0.9122999906539917,2.149874687194824;1.011278748512268;0.5496894717216492;0.43795081973075867;0.3911880552768707;0.36158278584480286;0.3430342674255371;0.328972727060318;0.31781983375549316;0.31095367670059204,1.5901306867599487;0.6267281174659729;0.45494842529296875;0.3891860544681549;0.3552859425544739;0.335856556892395;0.33976468443870544;0.30482497811317444;0.31323519349098206;0.3049974739551544
572,0.05740901976623286,238,11,430,0.7176666855812073;0.8784000277519226;0.8815500140190125;0.8810666799545288;0.8845833539962769;0.885699987411499;0.8913333415985107;0.890250027179718;0.9009833335876465;0.8923666477203369;0.9043499827384949,0.8565000295639038;0.8590999841690063;0.8041999936103821;0.8795999884605408;0.869700014591217;0.8144999742507935;0.8971999883651733;0.8277000188827515;0.6873000264167786;0.7728999853134155;0.8795999884605408,7.30888557434082;0.4507620632648468;0.4858814477920532;0.56381756067276;0.6175740957260132;0.6789005994796753;0.6576349139213562;0.7607923746109009;0.6878243684768677;0.9068562984466553;0.7909688949584961,0.4656236469745636;0.5181061029434204;0.9009075164794922;0.5896892547607422;0.5901010036468506;1.214674949645996;0.6574535965919495;1.459650993347168;2.6056811809539795;2.497746706008911;1.0687763690948486
538,0.006399882700203985,60,13,431,0.7999833226203918;0.8924833536148071;0.8953999876976013;0.9023833274841309;0.9105499982833862;0.9108999967575073;0.916700005531311;0.9144999980926514;0.9205833077430725;0.9165999889373779;0.9227166771888733;0.9206833243370056;0.9214166402816772,0.8636000156402588;0.9003000259399414;0.9067999720573425;0.9045000076293945;0.9115999937057495;0.925599992275238;0.9129999876022339;0.9185000061988831;0.9235000014305115;0.9086999893188477;0.9150999784469604;0.9222000241279602;0.9257000088691711,0.6574295163154602;0.39349764585494995;0.4014347791671753;0.3907139003276825;0.36478349566459656;0.3699900209903717;0.34409546852111816;0.35652580857276917;0.32771438360214233;0.3543543815612793;0.32031431794166565;0.3357519805431366;0.33627963066101074,0.47088590264320374;0.36864012479782104;0.3770492374897003;0.4125882685184479;0.37641751766204834;0.3436644375324249;0.37054410576820374;0.37531113624572754;0.3640415668487549;0.43259599804878235;0.4063566327095032;0.3752466142177582;0.37052735686302185
474,0.003896524380967742,352,13,604,0.5021499991416931;0.864983320236206;0.8898833394050598;0.8985333442687988;0.9083666801452637;0.9139333367347717;0.9185666441917419;0.9220499992370605;0.9230499863624573;0.925683319568634;0.9262333512306213;0.9287499785423279;0.9296500086784363,0.8445000052452087;0.8924999833106995;0.9083999991416931;0.9092000126838684;0.911899983882904;0.9192000031471252;0.9222000241279602;0.9217000007629395;0.92330002784729;0.9247999787330627;0.9164999723434448;0.929099977016449;0.9243999719619751,1.6360177993774414;0.4919986426830292;0.37842631340026855;0.3457326292991638;0.3160261809825897;0.30180466175079346;0.2894936800003052;0.27835729718208313;0.2720848321914673;0.2652149200439453;0.26234543323516846;0.2537650167942047;0.2519364655017853,0.6335717439651489;0.3790522813796997;0.32544976472854614;0.3144132196903229;0.30939286947250366;0.2862962782382965;0.27630850672721863;0.2758910357952118;0.2784631550312042;0.2678309679031372;0.2939443588256836;0.2599543333053589;0.26945826411247253
607,0.003590477494173233,316,13,913,0.4904833436012268;0.866016685962677;0.8907166719436646;0.9021999835968018;0.9115999937057495;0.9167333245277405;0.9189500212669373;0.9227166771888733;0.9251999855041504;0.9267833232879639;0.9269999861717224;0.9302999973297119;0.9296000003814697,0.8543999791145325;0.8851000070571899;0.9021000266075134;0.9107999801635742;0.914900004863739;0.9218999743461609;0.9230999946594238;0.9200999736785889;0.9236999750137329;0.9294000267982483;0.9128999710083008;0.9258999824523926;0.9262999892234802,1.6766705513000488;0.48661571741104126;0.3733864724636078;0.3362223505973816;0.31015223264694214;0.2921591103076935;0.28499284386634827;0.2752018868923187;0.26899829506874084;0.26392263174057007;0.2595059871673584;0.24981801211833954;0.25281837582588196,0.6220937371253967;0.3908274173736572;0.33820587396621704;0.3020181953907013;0.297649621963501;0.27666497230529785;0.2784055471420288;0.287083238363266;0.27276667952537537;0.26159343123435974;0.2992234230041504;0.26909512281417847;0.2627411484718323
